;min;mean;max;best;generacion
0;208.43924526412533;1552.9272058467502;6328.443195702005;[4, 7, 14, 5, 12, 9, 10, 17, 0];[[4, 5, 14, 5, 14, 8, 10, 18, 0], [5, 7, 12, 5, 13, 9, 10, 17, 0], [4, 7, 14, 5, 14, 8, 10, 18, 0], [4, 7, 12, 6, 12, 9, 10, 17, 0], [5, 7, 12, 5, 14, 9, 10, 18, 0], [4, 7, 12, 6, 14, 8, 10, 18, 0], [4, 7, 14, 5, 12, 9, 10, 17, 1], [5, 7, 12, 5, 14, 8, 10, 14, 0], [4, 7, 12, 6, 14, 9, 10, 18, 0], [4, 5, 14, 5, 14, 8, 10, 18, 0], [5, 7, 12, 5, 13, 9, 10, 17, 0], [4, 7, 14, 5, 14, 8, 10, 18, 0], [4, 7, 12, 6, 12, 9, 10, 17, 0], [5, 7, 12, 5, 14, 9, 10, 18, 0], [4, 7, 14, 5, 12, 9, 10, 17, 1], [5, 7, 12, 5, 14, 8, 10, 14, 0], [4, 7, 12, 6, 14, 9, 10, 18, 0]] 
1;208.43924526412533;291.96236395192597;523.2973137800657;[4, 7, 14, 5, 12, 9, 10, 17, 0];[[4, 7, 14, 5, 14, 8, 10, 14, 1], [5, 7, 12, 5, 12, 9, 10, 15, 1], [4, 6, 14, 5, 14, 8, 10, 14, 0], [5, 7, 12, 5, 12, 9, 10, 17, 0], [5, 7, 12, 5, 14, 8, 10, 14, 0], [5, 6, 12, 5, 14, 8, 10, 14, 0], [4, 7, 14, 5, 12, 9, 10, 17, 1], [5, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 0], [4, 7, 14, 5, 14, 8, 10, 14, 1], [5, 7, 12, 5, 12, 9, 10, 15, 1], [4, 6, 14, 5, 14, 8, 10, 14, 0], [5, 7, 12, 5, 12, 9, 10, 17, 0], [5, 6, 12, 5, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 0]] 
2;162.2854036186608;209.09242155209608;241.619383314996;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[5, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 15, 6, 14, 8, 10, 14, 0], [3, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 1], [5, 8, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 8, 15, 6, 14, 8, 10, 14, 0], [3, 8, 12, 6, 14, 8, 10, 14, 0], [5, 8, 12, 6, 14, 8, 10, 14, 1], [5, 8, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0]] 
3;162.2854036186608;195.2097609816086;219.90769013594667;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[5, 7, 13, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 13, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 6, 12, 6, 14, 8, 11, 14, 0], [3, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 13, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 14, 8, 13, 14, 0], [5, 6, 12, 6, 14, 8, 11, 14, 0], [3, 7, 12, 6, 14, 8, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0]] 
4;162.2854036186608;193.88345980372765;216.86162707672696;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[4, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 14, 9, 11, 14, 0], [5, 7, 12, 5, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 14, 1], [4, 7, 12, 6, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 0], [5, 7, 12, 6, 14, 9, 11, 14, 0], [5, 7, 12, 5, 12, 9, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 14, 1]] 
5;162.2854036186608;193.00041798062915;214.90513340726193;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[5, 8, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 16, 1], [5, 7, 15, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 14, 0], [5, 6, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 13, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 8, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 11, 16, 1], [5, 7, 15, 6, 12, 9, 11, 14, 1], [5, 6, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 6, 12, 9, 13, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1]] 
6;162.2854036186608;193.00041798062915;214.90513340726193;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[5, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 0], [5, 7, 12, 6, 12, 9, 11, 14, 1], [5, 7, 12, 5, 12, 8, 11, 14, 1], [4, 7, 12, 6, 12, 8, 11, 14, 1], [5, 7, 12, 6, 12, 8, 11, 14, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1], [5, 7, 12, 5, 12, 8, 11, 14, 1], [4, 7, 12, 6, 12, 8, 11, 14, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 1]] 
7;162.2854036186608;193.00041798062915;214.90513340726193;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[4, 7, 12, 6, 12, 8, 13, 15, 1], [4, 7, 12, 5, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 9, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 0], [4, 7, 12, 6, 15, 8, 13, 15, 1], [4, 7, 12, 6, 14, 8, 13, 15, 1], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [4, 7, 12, 5, 12, 8, 13, 15, 1], [4, 7, 12, 6, 12, 9, 13, 15, 1], [4, 7, 12, 6, 12, 8, 13, 15, 0], [4, 7, 12, 6, 15, 8, 13, 15, 1], [4, 7, 12, 6, 14, 8, 13, 15, 1], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0]] 
8;162.2854036186608;193.00041798062915;214.90513340726193;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 12, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 15, 0], [3, 7, 12, 6, 12, 8, 10, 17, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 8, 12, 15, 0], [3, 7, 12, 6, 12, 8, 10, 17, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 15, 0]] 
9;162.2854036186608;193.00041798062915;214.90513340726193;[5, 8, 12, 6, 14, 8, 10, 14, 0];[[3, 7, 12, 6, 14, 10, 10, 15, 0], [4, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 5, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 17, 0], [3, 7, 14, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 15, 10, 10, 15, 0], [3, 7, 13, 6, 15, 10, 10, 15, 0], [3, 7, 13, 6, 15, 10, 10, 15, 0], [3, 7, 13, 6, 15, 10, 10, 15, 0], [3, 7, 12, 6, 14, 10, 10, 15, 0], [4, 7, 12, 6, 12, 10, 10, 15, 0], [3, 7, 12, 5, 12, 10, 10, 15, 0], [3, 7, 12, 6, 12, 10, 10, 17, 0], [3, 7, 14, 6, 12, 10, 10, 15, 0], [3, 7, 12, 6, 15, 10, 10, 15, 0], [3, 7, 13, 6, 15, 10, 10, 15, 0], [3, 7, 13, 6, 15, 10, 10, 15, 0]] 
