;min;mean;max;best;generacion
0;821.1211223090811;1108.4889811324756;2440.4733546221105;[3, 7, 13, 6, 15, 10, 10, 14, 0];[[4, 6, 13, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 13, 10, 10, 16, 0], [4, 6, 14, 5, 12, 10, 11, 15, 1], [3, 7, 13, 6, 14, 10, 10, 17, 0], [4, 6, 14, 5, 15, 10, 10, 14, 0], [4, 6, 13, 5, 12, 9, 11, 15, 1], [3, 7, 13, 6, 15, 10, 10, 14, 0], [4, 6, 14, 5, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 13, 10, 10, 16, 0], [4, 6, 14, 5, 12, 10, 11, 15, 1], [3, 7, 13, 6, 14, 10, 10, 17, 0], [4, 6, 14, 5, 15, 10, 10, 14, 0]] 
1;822.9907704324025;800.2484801444793;2455.3874378925775;[3, 7, 13, 6, 12, 9, 11, 15, 0];[[4, 6, 13, 5, 12, 9, 11, 15, 0], [3, 7, 13, 6, 15, 10, 10, 14, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 13, 10, 13, 16, 0], [4, 6, 13, 5, 12, 9, 11, 16, 0], [4, 6, 13, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 13, 10, 10, 16, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0], [3, 7, 13, 6, 15, 10, 10, 14, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 13, 10, 13, 16, 0], [4, 6, 13, 5, 12, 9, 11, 16, 0]] 
2;822.9907704324025;669.1157748811544;2455.3874378925775;[3, 7, 13, 6, 12, 9, 11, 15, 0];[[4, 6, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [3, 6, 13, 5, 12, 9, 11, 15, 0], [3, 7, 15, 6, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 10, 15, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0], [3, 7, 13, 6, 15, 10, 10, 14, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [3, 6, 13, 5, 12, 9, 11, 15, 0], [3, 7, 15, 6, 14, 10, 10, 16, 0], [4, 6, 13, 5, 15, 10, 10, 15, 0]] 
3;815.4110071169359;605.9284868773028;2334.4625604166604;[4, 7, 13, 6, 12, 9, 11, 15, 0];[[4, 6, 13, 5, 12, 9, 11, 15, 0], [4, 7, 13, 6, 15, 10, 13, 14, 0], [4, 6, 13, 6, 14, 10, 10, 16, 0], [5, 6, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 14, 10, 13, 16, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0], [4, 6, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 12, 9, 11, 15, 0], [4, 6, 13, 5, 14, 10, 10, 16, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0], [4, 7, 13, 6, 15, 10, 13, 14, 0], [4, 6, 13, 6, 14, 10, 10, 16, 0], [5, 6, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 14, 10, 13, 16, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0]] 
4;815.4110071169359;603.9263211291428;2334.4625604166604;[4, 7, 13, 6, 12, 9, 11, 15, 0];[[4, 8, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 13, 9, 11, 15, 0], [4, 6, 12, 5, 14, 10, 10, 16, 0], [4, 8, 13, 6, 12, 9, 11, 15, 0], [4, 7, 13, 6, 14, 8, 10, 16, 0], [4, 6, 13, 6, 15, 10, 13, 14, 0], [4, 6, 13, 5, 12, 9, 11, 15, 0], [4, 7, 13, 6, 15, 10, 13, 14, 0], [4, 6, 13, 6, 14, 10, 10, 16, 0], [4, 8, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 13, 9, 11, 15, 0], [4, 6, 12, 5, 14, 10, 10, 16, 0], [4, 8, 13, 6, 12, 9, 11, 15, 0], [4, 7, 13, 6, 14, 8, 10, 16, 0], [4, 6, 13, 6, 15, 10, 13, 14, 0]] 
5;209.66536732296652;607.8889591775333;2900.1448879217965;0;[[4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 0], [4, 8, 13, 5, 14, 10, 10, 16, 0], [4, 6, 12, 5, 15, 10, 10, 14, 0], [4, 7, 13, 6, 12, 10, 10, 16, 0], [4, 6, 12, 5, 13, 9, 11, 15, 0], [4, 8, 13, 5, 15, 10, 13, 14, 0], [4, 7, 13, 6, 13, 9, 11, 15, 0], [4, 6, 12, 5, 14, 10, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 0], [4, 8, 13, 5, 14, 10, 10, 16, 0], [4, 6, 12, 5, 15, 10, 10, 14, 0], [4, 7, 13, 6, 12, 10, 10, 16, 0], [4, 6, 12, 5, 13, 9, 11, 15, 0]] 
6;209.66536732296652;601.3336320670265;2900.1448879217965;0;[[4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 13, 6, 13, 9, 11, 15, 0], [4, 8, 13, 5, 14, 8, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 14, 10, 10, 16, 0], [4, 7, 13, 5, 15, 10, 13, 14, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 0], [4, 8, 13, 5, 14, 10, 10, 16, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 13, 6, 13, 9, 11, 15, 0], [4, 8, 13, 5, 14, 8, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 14, 10, 10, 16, 0], [4, 7, 13, 5, 15, 10, 13, 14, 0]] 
7;209.66536732296652;664.9285623475167;4556.670177360935;0;[[4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 1], [4, 8, 13, 5, 14, 8, 10, 17, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 13, 6, 14, 8, 10, 16, 0], [4, 8, 13, 5, 13, 9, 11, 15, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 13, 6, 13, 9, 11, 15, 0], [4, 8, 13, 5, 14, 8, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 1], [4, 8, 13, 5, 14, 8, 10, 17, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 13, 6, 14, 8, 10, 16, 0], [4, 8, 13, 5, 13, 9, 11, 15, 0]] 
8;209.66536732296652;757.3048333395753;4556.670177360935;0;[[4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 15, 6, 13, 8, 11, 15, 0], [4, 8, 13, 5, 14, 10, 10, 17, 0], [4, 8, 13, 5, 13, 8, 11, 15, 1], [4, 5, 13, 6, 14, 8, 10, 16, 0], [4, 8, 13, 5, 15, 10, 13, 16, 1], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 13, 6, 15, 10, 13, 14, 1], [4, 8, 13, 5, 14, 8, 10, 17, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 15, 6, 13, 8, 11, 15, 0], [4, 8, 13, 5, 14, 10, 10, 17, 0], [4, 8, 13, 5, 13, 8, 11, 15, 1], [4, 5, 13, 6, 14, 8, 10, 16, 0], [4, 8, 13, 5, 15, 10, 13, 16, 1]] 
9;209.66536732296652;902.8073191762227;5274.39786388455;0;[[4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 15, 6, 15, 10, 13, 14, 1], [4, 8, 13, 6, 14, 10, 10, 17, 0], [5, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 15, 6, 14, 10, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 15, 6, 13, 8, 11, 15, 0], [4, 8, 13, 5, 14, 10, 10, 17, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0], [4, 5, 15, 6, 15, 10, 13, 14, 1], [4, 8, 13, 6, 14, 10, 10, 17, 0], [5, 8, 13, 5, 15, 10, 13, 14, 1], [4, 5, 15, 6, 14, 10, 10, 16, 0], [4, 8, 13, 5, 13, 8, 11, 15, 0]] 
