,estadia,freq,prob
0,2.4,35,0.08495145631067962
1,2.8,32,0.07766990291262135
2,2.5,32,0.07766990291262135
3,2.2,30,0.07281553398058252
4,2.3,30,0.07281553398058252
5,2.6,30,0.07281553398058252
6,2.9,25,0.06067961165048544
7,2.7,21,0.050970873786407765
8,2.0,19,0.04611650485436893
9,2.1,18,0.043689320388349516
10,1.7,16,0.038834951456310676
11,1.9,15,0.03640776699029126
12,3.1,14,0.03398058252427184
13,3.0,13,0.03155339805825243
14,1.6,13,0.03155339805825243
15,1.8,12,0.02912621359223301
16,3.2,12,0.02912621359223301
17,3.3,10,0.024271844660194174
18,3.4,9,0.021844660194174758
19,1.5,6,0.014563106796116505
20,1.4,4,0.009708737864077669
21,1.3,4,0.009708737864077669
22,3.8,2,0.0048543689320388345
23,1.1,2,0.0048543689320388345
24,3.5,1,0.0024271844660194173
25,1.2,1,0.0024271844660194173
26,4.1,1,0.0024271844660194173
27,0.8,1,0.0024271844660194173
28,3.6,1,0.0024271844660194173
29,3.7,1,0.0024271844660194173
30,1.0,1,0.0024271844660194173
31,0.0,1,0.0024271844660194173
